"ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","ID_5","NAME_5","TYPE_5","ENGTYPE_5","Shape_Length","Shape_Area"
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",32,"Kadehero","Village","Village",0.0426170607231943,7.64904101515092e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",33,"Kagano","Village","Village",0.0554569625259523,0.000127919895476101
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",34,"Kaniga","Village","Village",0.0512818972167948,7.74233926676233e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",35,"Kanyoni","Village","Village",0.0397503145528138,5.41824780386849e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",36,"Kindoyi","Village","Village",0.0514203518542623,7.97370356623501e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",37,"Murambi","Village","Village",0.037389727298198,5.96285606208378e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",38,"Rubonobono","Village","Village",0.057602351381318,0.000129546449102071
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",39,"Rwabutama","Village","Village",0.0441427313605014,6.16139603832188e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",40,"Rweru","Village","Village",0.0569728961082076,0.000123627014090837
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",41,"Biyove","Village","Village",0.0443541357642317,7.58499006679562e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",42,"Bugeme","Village","Village",0.0492488232362925,0.000109233784655633
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",43,"Gacyamo","Village","Village",0.0300740102789693,4.0023663587088e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",44,"Kirwa","Village","Village",0.0311865725720956,5.98840666728925e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",45,"Mulindi","Village","Village",0.0306527470384724,6.04089275383651e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",46,"Murambi","Village","Village",0.0304196159426014,4.22423651118443e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",47,"Musenyi","Village","Village",0.0467443745738084,6.91878539101066e-05
189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",48,"Nyanamo","Village","Village",0.046077779680257,5.292988487298e-05
