"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,84,"GMB","Gambia",1,"Banjul","Independent City","Independent City",NA,NA
2,84,"GMB","Gambia",2,"Lower River","Division","Division",NA,"Central|South Bank"
3,84,"GMB","Gambia",3,"Maccarthy Island","Division","Division",NA,"Central River|Jangjangbureh|Janjanbureh|Janjangburreh"
4,84,"GMB","Gambia",4,"North Bank","Division","Division",NA,NA
5,84,"GMB","Gambia",5,"Upper River","Division","Division",NA,NA
6,84,"GMB","Gambia",6,"Western","Division","Division",NA,NA
