"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,138,"MLI","Mali",1,"Bamako","District","District",NA,NA
2,138,"MLI","Mali",2,"Gao","Région","Region",NA,NA
3,138,"MLI","Mali",3,"Kayes","Région","Region",NA,NA
4,138,"MLI","Mali",4,"Kidal","Région","Region",NA,NA
5,138,"MLI","Mali",5,"Koulikoro","Région","Region",NA,NA
6,138,"MLI","Mali",6,"Mopti","Région","Region",NA,NA
7,138,"MLI","Mali",7,"Ségou","Région","Region",NA,"Segou"
8,138,"MLI","Mali",8,"Sikasso","Région","Region",NA,NA
9,138,"MLI","Mali",9,"Timbuktu","Région","Region",NA,"Timbouctou|Tombouctou|Timbuct|Timbuctu|Tombuktu|Tombuctú|Tomboucto"
