"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
49,226,"TJK","Tajikistan",3,"Khatlon",9,"Baljuvon",49,"n.a. ( 176)",NA,NA,NA,NA
50,226,"TJK","Tajikistan",3,"Khatlon",9,"Baljuvon",50,"n.a. ( 194)",NA,NA,NA,NA
51,226,"TJK","Tajikistan",3,"Khatlon",10,"Bokhtar",51,"n.a. ( 270)",NA,NA,NA,NA
52,226,"TJK","Tajikistan",3,"Khatlon",10,"Bokhtar",52,"n.a. ( 279)",NA,NA,NA,NA
53,226,"TJK","Tajikistan",3,"Khatlon",10,"Bokhtar",53,"n.a. ( 289)",NA,NA,NA,NA
54,226,"TJK","Tajikistan",3,"Khatlon",10,"Bokhtar",54,"n.a. ( 295)",NA,NA,NA,NA
55,226,"TJK","Tajikistan",3,"Khatlon",10,"Bokhtar",55,"n.a. ( 302)",NA,NA,NA,NA
56,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",56,"n.a. ( 221)",NA,NA,NA,NA
57,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",57,"n.a. ( 224)",NA,NA,NA,NA
58,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",58,"n.a. ( 232)",NA,NA,NA,NA
59,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",59,"n.a. ( 241)",NA,NA,NA,NA
60,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",60,"n.a. ( 244)",NA,NA,NA,NA
61,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",61,"n.a. ( 245)",NA,NA,NA,NA
62,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",62,"n.a. ( 254)",NA,NA,NA,NA
63,226,"TJK","Tajikistan",3,"Khatlon",11,"Danghara",63,"n.a. ( 271)",NA,NA,NA,NA
64,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",64,"n.a. ( 294)",NA,NA,NA,NA
65,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",65,"n.a. ( 296)",NA,NA,NA,NA
66,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",66,"n.a. ( 298)",NA,NA,NA,NA
67,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",67,"n.a. ( 313)",NA,NA,NA,NA
68,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",68,"n.a. ( 321)",NA,NA,NA,NA
69,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",69,"n.a. ( 324)",NA,NA,NA,NA
70,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",70,"n.a. ( 329)",NA,NA,NA,NA
71,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",71,"n.a. ( 332)",NA,NA,NA,NA
72,226,"TJK","Tajikistan",3,"Khatlon",12,"Farkhor",72,"n.a. ( 349)",NA,NA,NA,NA
73,226,"TJK","Tajikistan",3,"Khatlon",13,"Jilikul",73,"n.a. ( 283)",NA,NA,NA,NA
74,226,"TJK","Tajikistan",3,"Khatlon",13,"Jilikul",74,"n.a. ( 297)",NA,NA,NA,NA
75,226,"TJK","Tajikistan",3,"Khatlon",13,"Jilikul",75,"n.a. ( 319)",NA,NA,NA,NA
76,226,"TJK","Tajikistan",3,"Khatlon",13,"Jilikul",76,"n.a. ( 320)",NA,NA,NA,NA
77,226,"TJK","Tajikistan",3,"Khatlon",13,"Jilikul",77,"n.a. ( 337)",NA,NA,NA,NA
78,226,"TJK","Tajikistan",3,"Khatlon",14,"Jomi",78,"n.a. ( 229)",NA,NA,NA,NA
79,226,"TJK","Tajikistan",3,"Khatlon",14,"Jomi",79,"n.a. ( 252)",NA,NA,NA,NA
80,226,"TJK","Tajikistan",3,"Khatlon",14,"Jomi",80,"n.a. ( 256)",NA,NA,NA,NA
81,226,"TJK","Tajikistan",3,"Khatlon",14,"Jomi",81,"n.a. ( 258)",NA,NA,NA,NA
82,226,"TJK","Tajikistan",3,"Khatlon",14,"Jomi",82,"n.a. ( 263)",NA,NA,NA,NA
83,226,"TJK","Tajikistan",3,"Khatlon",14,"Jomi",83,"n.a. ( 264)",NA,NA,NA,NA
84,226,"TJK","Tajikistan",3,"Khatlon",15,"Khovaling",84,"n.a. ( 166)",NA,NA,NA,NA
85,226,"TJK","Tajikistan",3,"Khatlon",15,"Khovaling",85,"n.a. ( 168)",NA,NA,NA,NA
86,226,"TJK","Tajikistan",3,"Khatlon",15,"Khovaling",86,"n.a. ( 205)",NA,NA,NA,NA
87,226,"TJK","Tajikistan",3,"Khatlon",15,"Khovaling",87,"n.a. ( 210)",NA,NA,NA,NA
88,226,"TJK","Tajikistan",3,"Khatlon",15,"Khovaling",88,"n.a. ( 218)",NA,NA,NA,NA
89,226,"TJK","Tajikistan",3,"Khatlon",16,"Khuroson",89,"n.a. ( 219)",NA,NA,NA,NA
90,226,"TJK","Tajikistan",3,"Khatlon",16,"Khuroson",90,"n.a. ( 230)",NA,NA,NA,NA
91,226,"TJK","Tajikistan",3,"Khatlon",16,"Khuroson",91,"n.a. ( 251)",NA,NA,NA,NA
92,226,"TJK","Tajikistan",3,"Khatlon",16,"Khuroson",92,"n.a. ( 266)",NA,NA,NA,NA
93,226,"TJK","Tajikistan",3,"Khatlon",16,"Khuroson",93,"n.a. ( 272)",NA,NA,NA,NA
94,226,"TJK","Tajikistan",3,"Khatlon",17,"Kolkhozobod",94,"n.a. ( 305)",NA,NA,NA,NA
95,226,"TJK","Tajikistan",3,"Khatlon",17,"Kolkhozobod",95,"n.a. ( 311)",NA,NA,NA,NA
96,226,"TJK","Tajikistan",3,"Khatlon",17,"Kolkhozobod",96,"n.a. ( 314)",NA,NA,NA,NA
97,226,"TJK","Tajikistan",3,"Khatlon",17,"Kolkhozobod",97,"n.a. ( 316)",NA,NA,NA,NA
98,226,"TJK","Tajikistan",3,"Khatlon",17,"Kolkhozobod",98,"n.a. ( 322)",NA,NA,NA,NA
99,226,"TJK","Tajikistan",3,"Khatlon",17,"Kolkhozobod",99,"n.a. ( 325)",NA,NA,NA,NA
100,226,"TJK","Tajikistan",3,"Khatlon",18,"Kulob",100,"n.a. ( 239)",NA,NA,NA,NA
101,226,"TJK","Tajikistan",3,"Khatlon",18,"Kulob",101,"n.a. ( 253)",NA,NA,NA,NA
102,226,"TJK","Tajikistan",3,"Khatlon",18,"Kulob",102,"n.a. ( 261)",NA,NA,NA,NA
103,226,"TJK","Tajikistan",3,"Khatlon",18,"Kulob",103,"n.a. ( 275)",NA,NA,NA,NA
104,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",104,"n.a. ( 281)",NA,NA,NA,NA
105,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",105,"n.a. ( 299)",NA,NA,NA,NA
106,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",106,"n.a. ( 300)",NA,NA,NA,NA
107,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",107,"n.a. ( 306)",NA,NA,NA,NA
108,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",108,"n.a. ( 307)",NA,NA,NA,NA
109,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",109,"n.a. ( 308)",NA,NA,NA,NA
110,226,"TJK","Tajikistan",3,"Khatlon",19,"Moskva",110,"n.a. ( 309)",NA,NA,NA,NA
111,226,"TJK","Tajikistan",3,"Khatlon",20,"Muminobod",111,"n.a. ( 213)",NA,NA,NA,NA
112,226,"TJK","Tajikistan",3,"Khatlon",20,"Muminobod",112,"n.a. ( 235)",NA,NA,NA,NA
113,226,"TJK","Tajikistan",3,"Khatlon",20,"Muminobod",113,"n.a. ( 237)",NA,NA,NA,NA
114,226,"TJK","Tajikistan",3,"Khatlon",20,"Muminobod",114,"n.a. ( 238)",NA,NA,NA,NA
115,226,"TJK","Tajikistan",3,"Khatlon",20,"Muminobod",115,"n.a. ( 246)",NA,NA,NA,NA
116,226,"TJK","Tajikistan",3,"Khatlon",21,"Norak",116,"n.a. ( 204)",NA,NA,NA,NA
117,226,"TJK","Tajikistan",3,"Khatlon",21,"Norak",117,"n.a. ( 214)",NA,NA,NA,NA
118,226,"TJK","Tajikistan",3,"Khatlon",22,"Nosir Khusrav",118,"n.a. ( 328)",NA,NA,NA,NA
119,226,"TJK","Tajikistan",3,"Khatlon",22,"Nosir Khusrav",119,"n.a. ( 350)",NA,NA,NA,NA
120,226,"TJK","Tajikistan",3,"Khatlon",23,"Panj",120,"n.a. ( 323)",NA,NA,NA,NA
121,226,"TJK","Tajikistan",3,"Khatlon",23,"Panj",121,"n.a. ( 335)",NA,NA,NA,NA
122,226,"TJK","Tajikistan",3,"Khatlon",23,"Panj",122,"n.a. ( 347)",NA,NA,NA,NA
123,226,"TJK","Tajikistan",3,"Khatlon",23,"Panj",123,"n.a. ( 353)",NA,NA,NA,NA
124,226,"TJK","Tajikistan",3,"Khatlon",23,"Panj",124,"n.a. ( 355)",NA,NA,NA,NA
125,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",125,"n.a. ( 276)",NA,NA,NA,NA
126,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",126,"n.a. ( 303)",NA,NA,NA,NA
127,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",127,"n.a. ( 317)",NA,NA,NA,NA
128,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",128,"n.a. ( 326)",NA,NA,NA,NA
129,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",129,"n.a. ( 340)",NA,NA,NA,NA
130,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",130,"n.a. ( 352)",NA,NA,NA,NA
131,226,"TJK","Tajikistan",3,"Khatlon",24,"Qabodiyon",131,"n.a. ( 354)",NA,NA,NA,NA
132,226,"TJK","Tajikistan",3,"Khatlon",25,"Qumsangir",132,"n.a. ( 333)",NA,NA,NA,NA
133,226,"TJK","Tajikistan",3,"Khatlon",25,"Qumsangir",133,"n.a. ( 334)",NA,NA,NA,NA
134,226,"TJK","Tajikistan",3,"Khatlon",25,"Qumsangir",134,"n.a. ( 345)",NA,NA,NA,NA
135,226,"TJK","Tajikistan",3,"Khatlon",25,"Qumsangir",135,"n.a. ( 346)",NA,NA,NA,NA
136,226,"TJK","Tajikistan",3,"Khatlon",25,"Qumsangir",136,"n.a. ( 348)",NA,NA,NA,NA
137,226,"TJK","Tajikistan",3,"Khatlon",26,"Sarband",137,"n.a. ( 260)",NA,NA,NA,NA
138,226,"TJK","Tajikistan",3,"Khatlon",26,"Sarband",138,"n.a. ( 282)",NA,NA,NA,NA
