"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,226,"TJK","Tajikistan",1,"Dushanbe","Viloyat","Region",NA,NA
2,226,"TJK","Tajikistan",2,"Gorno-Badakhshan","Viloiati Mukhtori|Viloyati Avtonomii","Region",NA,"Badakhshoni Kuni|Autonomes Gebiet der Berg-Badachschanen|Gorno-Badahshanskaya avtonomnaya oblast'|Go"
3,226,"TJK","Tajikistan",3,"Khatlon","Viloyat","Region",NA,"Hationskaya oblast'|Hatlonskaja oblast'"
4,226,"TJK","Tajikistan",4,"Leninabad","Viloyat","Region",NA,"Sogd|Hodžent|Khodzhent|Khujand|Leninabadskaya oblast'|Leninobod|Sogdiyskaya oblast'|Sogdskaja oblast"
5,226,"TJK","Tajikistan",5,"Tadzhikistan Territories","Viloyat","Region",NA,NA
